,type,question,ca1,ca2,ca3,ca4,answer,query,input,output,new_output
450,o,John is a horrible swimmer. He,invented a new stroke.,has amazing strokes.,swam extremely fast.,almost drowned.,3,"Choose the correct answer below:
John is a horrible swimmer. He
1) invented a new stroke.
2) has amazing strokes.
3) swam extremely fast.
4) almost drowned.","Choose the correct answer below:
John is a horrible swimmer. He
1) invented a new stroke.
2) has amazing strokes.
3) swam extremely fast.
4) almost drowned.","1. invented a new stroke.
is incorrect because the statement ""John is a horrible swimmer"" implies that he does not have good swimming abilities.
2. has amazing strokes.
is incorrect because the statement ""John is a horrible swimmer"" implies that he does not have good swimming abilities.
3. swam extremely fast.
is incorrect because the statement ""John is a horrible swimmer"" implies that he does not have good swimming abilities.
4. almost drowned.
is incorrect because the statement ""John is a horrible swimmer"" does not imply that he almost drowned.
So none of the options is correct as per the statement.
",1
451,o,Kieran is a puppy. Kieran,digests metal.,is one year's old.,is a giraffe.,is a robot.,1,"Choose the correct answer below:
Kieran is a puppy. Kieran
1) digests metal.
2) is one year's old.
3) is a giraffe.
4) is a robot.","Choose the correct answer below:
Kieran is a puppy. Kieran
1) digests metal.
2) is one year's old.
3) is a giraffe.
4) is a robot.","2. is one year's old.
is incorrect because puppies are generally less than a year old.
3. is a giraffe.
is incorrect because a giraffe is not a puppy.
4. is a robot.
is incorrect because a robot is not a living being and also not a puppy.
5. digests metal.
is incorrect because the statement ""Kieran is a puppy"" does not imply that the puppy has the ability to digest metal.
So none of the options is correct as per the statement.
",2
452,o,Kieran is a puppy. Kieran,is a giraffe.,is five year's old.,digests metal.,is a robot.,1,"Choose the correct answer below:
Kieran is a puppy. Kieran
1) is a giraffe.
2) is five year's old.
3) digests metal.
4) is a robot.","Choose the correct answer below:
Kieran is a puppy. Kieran
1) is a giraffe.
2) is five year's old.
3) digests metal.
4) is a robot.","1. is a giraffe.
is incorrect because a giraffe is not a puppy.
2. is five year's old.
is incorrect because puppies are generally less than a year old.
3. digests metal.
is incorrect because the statement ""Kieran is a puppy"" does not imply that the puppy has the ability to digest metal.
4. is a robot.
is incorrect because a robot is not a living being and also not a puppy.
So none of the options is correct as per the statement.
",1
453,o,Kieran is a puppy. Kieran,is a robot.,is a giraffe.,digests metal.,is 5 years' old.,3,"Choose the correct answer below:
Kieran is a puppy. Kieran
1) is a robot.
2) is a giraffe.
3) digests metal.
4) is 5 years' old.","Choose the correct answer below:
Kieran is a puppy. Kieran
1) is a robot.
2) is a giraffe.
3) digests metal.
4) is 5 years' old.","1. is a robot.
2. is a giraffe. are incorrect.
3. digests metal is also incorrect.
4. is 5 years' old. is also incorrect.
Kieran is a puppy.
",1
454,o,Moths are a common species of insects. Moths,like lights.,are dogs.,hurt walls of passion.,oranges.,0,"Choose the correct answer below:
Moths are a common species of insects. Moths
1) like lights.
2) are dogs.
3) hurt walls of passion.
4) oranges.","Choose the correct answer below:
Moths are a common species of insects. Moths
1) like lights.
2) are dogs.
3) hurt walls of passion.
4) oranges.","1. like lights. is correct.
2. are dogs. is incorrect.
3. hurt walls of passion. is incorrect.
4. oranges. is incorrect.
Moths are common species of insects and they are attracted to light.
",1
455,o,Moths are a common species of insects. Moths,oranges.,are dogs.,hurt walls of passion.,are drawn to lights.,3,"Choose the correct answer below:
Moths are a common species of insects. Moths
1) oranges.
2) are dogs.
3) hurt walls of passion.
4) are drawn to lights.","Choose the correct answer below:
Moths are a common species of insects. Moths
1) oranges.
2) are dogs.
3) hurt walls of passion.
4) are drawn to lights.","1. oranges. is incorrect.
2. are dogs. is incorrect.
3. hurt walls of passion. is incorrect.
4. are drawn to lights. is correct.
Moths are common species of insects and they are attracted to light.
",1
456,o,Dan is a moth. Dan,orange.,hurts walls of passion.,is a dog.,is drawn to lights.,3,"Choose the correct answer below:
Dan is a moth. Dan
1) orange.
2) hurts walls of passion.
3) is a dog.
4) is drawn to lights.","Choose the correct answer below:
Dan is a moth. Dan
1) orange.
2) hurts walls of passion.
3) is a dog.
4) is drawn to lights.","1. orange. is incorrect.
2. hurts walls of passion. is incorrect.
3. is a dog. is incorrect.
4. is drawn to lights. is incorrect.
Dan is not a moth. Moths are a type of insects. Dan is not an insect and it is not possible to say if Dan is drawn to lights without more information.
",1
457,o,Dan is a moth. He,hurts walls of passion.,is drawn to lights.,is a dog.,oranges.,1,"Choose the correct answer below:
Dan is a moth. He
1) hurts walls of passion.
2) is drawn to lights.
3) is a dog.
4) oranges.","Choose the correct answer below:
Dan is a moth. He
1) hurts walls of passion.
2) is drawn to lights.
3) is a dog.
4) oranges.","1. hurts walls of passion. is incorrect.
2. is drawn to lights. is correct.
3. is a dog. is incorrect.
4. oranges. is incorrect.
Dan is not a moth, as Dan is a person's name. Moths are common species of insects and they are attracted to lights.
",1
458,r,Mary is studying and Steve is cooking. Mary,dices onions on the cutting board.,is learning about integrals.,is a housewife.,makes tomato soup.,1,"Choose the correct answer below:
Mary is studying and Steve is cooking. Mary
1) dices onions on the cutting board.
2) is learning about integrals.
3) is a housewife.
4) makes tomato soup.","Choose the correct answer below:
Mary is studying and Steve is cooking. Mary
1) dices onions on the cutting board.
2) is learning about integrals.
3) is a housewife.
4) makes tomato soup.","1. dices onions on the cutting board. is incorrect.
2. is learning about integrals. is correct.
3. is a housewife. is incorrect.
4. makes tomato soup. is incorrect.
Mary is studying and Steve is cooking, based on the given information, Mary is not dicing onions on the cutting board, making tomato soup, and she is not a housewife. Mary is learning about integrals.
",1
459,r,Steve is studying and Mary is cooking. Steve,dices onions on the cutting board.,makes tomato soup.,is a good husband.,is learning about integrals.,3,"Choose the correct answer below:
Steve is studying and Mary is cooking. Steve
1) dices onions on the cutting board.
2) makes tomato soup.
3) is a good husband.
4) is learning about integrals.","Choose the correct answer below:
Steve is studying and Mary is cooking. Steve
1) dices onions on the cutting board.
2) makes tomato soup.
3) is a good husband.
4) is learning about integrals.","1. dices onions on the cutting board. is incorrect.
2. makes tomato soup. is incorrect.
3. is a good husband. is not related to the given information.
4. is learning about integrals. is correct.
Steve is studying and Mary is cooking, based on the given information, Steve is not dicing onions on the cutting board and not making tomato soup, Steve is learning about integrals.
",1
460,o,The computer is on the table. It's,turned on and someone may be using it.,being used to query data from that table.,next to the chair of Computer Science.,running a coding marathon.,0,"Choose the correct answer below:
The computer is on the table. It's
1) turned on and someone may be using it.
2) being used to query data from that table.
3) next to the chair of Computer Science.
4) running a coding marathon.","Choose the correct answer below:
The computer is on the table. It's
1) turned on and someone may be using it.
2) being used to query data from that table.
3) next to the chair of Computer Science.
4) running a coding marathon.","1. turned on and someone may be using it. is correct.
2. being used to query data from that table. is incorrect.
3. next to the chair of Computer Science. is not mentioned in the statement.
4. running a coding marathon. is not mentioned in the statement.
The computer is on the table, it is turned on, it's possible that someone is using it, but it's not specified if it's being used for querying data or running a marathon.
",1
461,o,The politician is on a rally. He,makes the public go crazy standing next to his car for the rally.,is the driver for the Paris-Dakar rally.,is enticing the crowd to vote.,"is preparing his car for the rally, with radical left and right curves.",2,"Choose the correct answer below:
The politician is on a rally. He
1) makes the public go crazy standing next to his car for the rally.
2) is the driver for the Paris-Dakar rally.
3) is enticing the crowd to vote.
4) is preparing his car for the rally, with radical left and right curves.","Choose the correct answer below:
The politician is on a rally. He
1) makes the public go crazy standing next to his car for the rally.
2) is the driver for the Paris-Dakar rally.
3) is enticing the crowd to vote.
4) is preparing his car for the rally, with radical left and right curves.","1. makes the public go crazy standing next to his car for the rally. is incorrect.
2. is the driver for the Paris-Dakar rally. is incorrect.
3. is enticing the crowd to vote. is correct.
4. is preparing his car for the rally, with radical left and right curves. is incorrect.
A politician is on a rally, he is not driving a car in a rally, and not preparing his car with radical left and right curves, He is enticing the crowd to vote and making speeches to the public during the rally.
",1
462,o,A crowd of runners are gathered near the starting line for a race. They,walk across the starting line.,wait for the signal to begin.,run across the finish line.,eat their shoes.,1,"Choose the correct answer below:
A crowd of runners are gathered near the starting line for a race. They
1) walk across the starting line.
2) wait for the signal to begin.
3) run across the finish line.
4) eat their shoes.","Choose the correct answer below:
A crowd of runners are gathered near the starting line for a race. They
1) walk across the starting line.
2) wait for the signal to begin.
3) run across the finish line.
4) eat their shoes.","1. walk across the starting line. is incorrect.
2. wait for the signal to begin. is correct.
3. run across the finish line. is incorrect.
4. eat their shoes. is incorrect.
A crowd of runners are gathered near the starting line for a race, they are waiting for the signal to begin, they are not walking across the starting line, running across the finish line, or eating their shoes.
",1
463,o,"He falls asleep in the bed, he",sings a song.,has a bad dream.,stops breathing.,open his eyes.,1,"Choose the correct answer below:
He falls asleep in the bed, he
1) sings a song.
2) has a bad dream.
3) stops breathing.
4) open his eyes.","Choose the correct answer below:
He falls asleep in the bed, he
1) sings a song.
2) has a bad dream.
3) stops breathing.
4) open his eyes.","1. sings a song. is incorrect.
2. has a bad dream. is not mentioned in the statement.
3. stops breathing. is incorrect.
4. open his eyes. is incorrect.
He falls asleep in the bed, he is not singing a song, he is not stops breathing and he is not opening his eyes. He is sleeping.
",1
464,o,"He falls asleep in the bed, he",open his eyes.,sings a song.,breathes smoothly.,stands up.,2,"Choose the correct answer below:
He falls asleep in the bed, he
1) open his eyes.
2) sings a song.
3) breathes smoothly.
4) stands up.","Choose the correct answer below:
He falls asleep in the bed, he
1) open his eyes.
2) sings a song.
3) breathes smoothly.
4) stands up.","1. sings a song. is incorrect.
2. has a bad dream. is not mentioned in the statement.
3. stops breathing. is incorrect.
4. open his eyes. is incorrect.
He falls asleep in the bed, he is not singing a song, he is not stops breathing and he is not opening his eyes. He is sleeping.
",1
465,o,"He falls asleep in the bed, he",opens his eyes.,walks away.,tries to memorize his childhood.,breathe steadily.,3,"Choose the correct answer below:
He falls asleep in the bed, he
1) opens his eyes.
2) walks away.
3) tries to memorize his childhood.
4) breathe steadily.","Choose the correct answer below:
He falls asleep in the bed, he
1) opens his eyes.
2) walks away.
3) tries to memorize his childhood.
4) breathe steadily.","1. opens his eyes. is incorrect.
2. walks away. is incorrect.
3. tries to memorize his childhood. is incorrect.
4. breathe steadily. is correct.
He falls asleep in the bed, he is not opening his eyes, walking away, trying to memorize his childhood. He is breathing steadily, indicating that he is asleep.
",1
466,o,"He falls asleep in the bed, he",thinks about his son.,breathes steadily.,opens his eyes.,watches a movie.,1,"Choose the correct answer below:
He falls asleep in the bed, he
1) thinks about his son.
2) breathes steadily.
3) opens his eyes.
4) watches a movie.","Choose the correct answer below:
He falls asleep in the bed, he
1) thinks about his son.
2) breathes steadily.
3) opens his eyes.
4) watches a movie.","1. thinks about his son. is not mentioned in the statement.
2. breathes steadily. is correct.
3. opens his eyes. is incorrect.
4. watches a movie. is incorrect.
He falls asleep in the bed, he is not thinking about his son, opening his eyes or watching a movie, He is breathing steadily, indicating that he is asleep.
",1
467,o,"He falls asleep in the bed, he",thinks about the final exam.,breathes steadily.,opens his eyes.,looks at the floor.,1,"Choose the correct answer below:
He falls asleep in the bed, he
1) thinks about the final exam.
2) breathes steadily.
3) opens his eyes.
4) looks at the floor.","Choose the correct answer below:
He falls asleep in the bed, he
1) thinks about the final exam.
2) breathes steadily.
3) opens his eyes.
4) looks at the floor.","1. thinks about the final exam. is not mentioned in the statement.
2. breathes steadily. is correct.
3. opens his eyes. is incorrect.
4. looks at the floor. is not mentioned in the statement.
He falls asleep in the bed, he is not thinking about the final exam, opening his eyes or looking at the floor. He is breathing steadily, indicating that he is asleep.
",1
468,o,"He is taking a math exam in the classroom, he",plays the video game.,chats with his mother.,returns home.,tries his best to finish it.,3,"Choose the correct answer below:
He is taking a math exam in the classroom, he
1) plays the video game.
2) chats with his mother.
3) returns home.
4) tries his best to finish it.","Choose the correct answer below:
He is taking a math exam in the classroom, he
1) plays the video game.
2) chats with his mother.
3) returns home.
4) tries his best to finish it.","1. plays the video game. is incorrect.
2. chats with his mother. is incorrect.
3. returns home. is incorrect.
4. tries his best to finish it. is correct.
He is taking a math exam in the classroom, he is not playing the video game, chatting with his mother or returning home. He is trying his best to finish the exam.
",1
469,o,"Bob is taking a math exam in the classroom, he",draws a fly.,wants to fly.,is disturbed by a fly.,chat with a fly.,2,"Choose the correct answer below:
Bob is taking a math exam in the classroom, he
1) draws a fly.
2) wants to fly.
3) is disturbed by a fly.
4) chat with a fly.","Choose the correct answer below:
Bob is taking a math exam in the classroom, he
1) draws a fly.
2) wants to fly.
3) is disturbed by a fly.
4) chat with a fly.","1. draws a fly. is incorrect.
2. wants to fly. is incorrect.
3. is disturbed by a fly. is incorrect.
4. chat with a fly. is incorrect.
Bob is taking a math exam in the classroom, he is not drawing a fly, wanting to fly, disturbed by a fly or chatting with a fly. He is trying his best to finish the math exam.
",1
470,r,The husband goes to work everyday while the wife is unemployed. The wife,stayed home to cook meals.,went to work.,supported the family with her salary.,enjoyed the health benefits of employment.,0,"Choose the correct answer below:
The husband goes to work everyday while the wife is unemployed. The wife
1) stayed home to cook meals.
2) went to work.
3) supported the family with her salary.
4) enjoyed the health benefits of employment.","Choose the correct answer below:
The husband goes to work everyday while the wife is unemployed. The wife
1) stayed home to cook meals.
2) went to work.
3) supported the family with her salary.
4) enjoyed the health benefits of employment.","1. stayed home to cook meals. is correct.
2. went to work. is incorrect.
3. supported the family with her salary. is incorrect.
4. enjoyed the health benefits of employment. is incorrect.
The husband goes to work everyday while the wife is unemployed, the wife stayed home to cook meals and do the housework, she is not going to work, supporting the family with her salary or enjoying the health benefits of employment.
",1
471,o,The husband was unemployed and didn't go to work. The husband,went to work.,stayed at home to cook meals.,supported the family with his salary.,enjoyed the health benefits of employment.,1,"Choose the correct answer below:
The husband was unemployed and didn't go to work. The husband
1) went to work.
2) stayed at home to cook meals.
3) supported the family with his salary.
4) enjoyed the health benefits of employment.","Choose the correct answer below:
The husband was unemployed and didn't go to work. The husband
1) went to work.
2) stayed at home to cook meals.
3) supported the family with his salary.
4) enjoyed the health benefits of employment.","1. went to work. is incorrect.
2. stayed at home to cook meals. is correct.
3. supported the family with his salary. is incorrect.
4. enjoyed the health benefits of employment. is incorrect.
The husband was unemployed and didn't go to work, the husband stayed at home to cook meals, and do the housework, he is not going to work, supporting the family with his salary or enjoying the health benefits of employment.
",1
472,r,"The students are taking a math class, the teacher",talks about the history of Egoroff's theorem.,teaches them singing.,asks them to write an article about politics.,votes for Trump.,0,"Choose the correct answer below:
The students are taking a math class, the teacher
1) talks about the history of Egoroff's theorem.
2) teaches them singing.
3) asks them to write an article about politics.
4) votes for Trump.","Choose the correct answer below:
The students are taking a math class, the teacher
1) talks about the history of Egoroff's theorem.
2) teaches them singing.
3) asks them to write an article about politics.
4) votes for Trump.","1. talks about the history of Egoroff's theorem. is correct.
2. teaches them singing. is incorrect.
3. asks them to write an article about politics. is incorrect.
4. votes for Trump. is not related to teaching math.
The students are taking a math class, the teacher is teaching them about math and its related topics, not teaching them singing, asking them to write an article about politics or voting for Trump.
",1
473,r,"The students are taking a math class, their teacher",teaches them to swim.,asks them to write an article about politics.,talks about the story of Thomas Bayes.,regards Shakespeare one of the greatest mathematicians.,2,"Choose the correct answer below:
The students are taking a math class, their teacher
1) teaches them to swim.
2) asks them to write an article about politics.
3) talks about the story of Thomas Bayes.
4) regards Shakespeare one of the greatest mathematicians.","Choose the correct answer below:
The students are taking a math class, their teacher
1) teaches them to swim.
2) asks them to write an article about politics.
3) talks about the story of Thomas Bayes.
4) regards Shakespeare one of the greatest mathematicians.","1. teaches them to swim. is incorrect.
2. asks them to write an article about politics. is incorrect.
3. talks about the story of Thomas Bayes. is correct.
4. regards Shakespeare one of the greatest mathematicians. is incorrect.
The students are taking a math class, the teacher is teaching them math, its related topics and stories, not teaching them to swim, asking them to write an article about politics, or regarding Shakespeare as one of the greatest mathematicians.
",1
474,o,A robot vacuum can be used to clean the,tub.,sink.,floor.,Roomba.,2,"Choose the correct answer below:
A robot vacuum can be used to clean the
1) tub.
2) sink.
3) floor.
4) Roomba.","Choose the correct answer below:
A robot vacuum can be used to clean the
1) tub.
2) sink.
3) floor.
4) Roomba.","1. tub. is incorrect.
2. sink. is incorrect.
3. floor. is correct.
4. Roomba. is also correct, Roomba is a brand name of a robot vacuum.
A robot vacuum can be used to clean the floor and Roomba is a specific brand of robot vacuum. It is not able to clean the tub or sink.
",1
475,r,"The students are taking a math class, their teacher",regards Taylor Swift one of the greatest mathematicians.,asks them to write an article about politics.,talks about the story of Euclid.,teaches them to swim.,2,"Choose the correct answer below:
The students are taking a math class, their teacher
1) regards Taylor Swift one of the greatest mathematicians.
2) asks them to write an article about politics.
3) talks about the story of Euclid.
4) teaches them to swim.","Choose the correct answer below:
The students are taking a math class, their teacher
1) regards Taylor Swift one of the greatest mathematicians.
2) asks them to write an article about politics.
3) talks about the story of Euclid.
4) teaches them to swim.","1. regards Taylor Swift one of the greatest mathematicians. is incorrect.
2. asks them to write an article about politics. is incorrect.
3. talks about the story of Euclid. is correct.
4. teaches them to swim. is incorrect.
The students are taking a math class, the teacher is teaching them math, its related topics and stories, not regarding Taylor Swift as one of the greatest mathematicians, asking them to write an article about politics or teaching them to swim.
",1
476,o,A robot vacuum can be used to clean the floor,manually.,autonomously.,poorly.,aquatically.,1,"Choose the correct answer below:
A robot vacuum can be used to clean the floor
1) manually.
2) autonomously.
3) poorly.
4) aquatically.","Choose the correct answer below:
A robot vacuum can be used to clean the floor
1) manually.
2) autonomously.
3) poorly.
4) aquatically.","1. manually. is incorrect.
2. autonomously. is correct.
3. poorly. is incorrect.
4. aquatically. is incorrect.
A robot vacuum can be used to clean the floor autonomously, meaning it can operate independently without human input. It is not cleaned manually, poorly or aquatically.
",1
477,o,A robot dish washer can be used to clean the,Gutters,Floor.,Plates.,Sink.,2,"Choose the correct answer below:
A robot dish washer can be used to clean the
1) Gutters
2) Floor.
3) Plates.
4) Sink.","Choose the correct answer below:
A robot dish washer can be used to clean the
1) Gutters
2) Floor.
3) Plates.
4) Sink.","1. Gutters is incorrect
2. Floor is incorrect.
3. Plates is correct
4. Sink is correct.
A robot dish washer can be used to clean the plates and the sink, it is not used to clean gutters or floor.
",1
478,p,A plant that makes green leaves is a,informant.,ground.,factory.,tree.,3,"Choose the correct answer below:
A plant that makes green leaves is a
1) informant.
2) ground.
3) factory.
4) tree.","Choose the correct answer below:
A plant that makes green leaves is a
1) informant.
2) ground.
3) factory.
4) tree.","1. informant is incorrect.
2. ground is incorrect.
3. factory is incorrect.
4. tree is correct.
A plant that makes green leaves is a tree, it is not an informant, ground or factory.
",1
479,p,A plant that makes green paint is a,tree.,ground.,factory.,informant.,2,"Choose the correct answer below:
A plant that makes green paint is a
1) tree.
2) ground.
3) factory.
4) informant.","Choose the correct answer below:
A plant that makes green paint is a
1) tree.
2) ground.
3) factory.
4) informant.","1. tree is incorrect.
2. ground is incorrect.
3. factory is correct.
4. informant is incorrect.
A plant that makes green paint is a factory, it is not a tree, ground or informant.
",1
480,p,A plant that photosyntheses is a,informant.,tree.,ground.,factory.,1,"Choose the correct answer below:
A plant that photosyntheses is a
1) informant.
2) tree.
3) ground.
4) factory.","Choose the correct answer below:
A plant that photosyntheses is a
1) informant.
2) tree.
3) ground.
4) factory.","1. informant is incorrect.
2. tree is correct.
3. ground is incorrect.
4. factory is incorrect.
A plant that photosyntheses is a tree, it is not an informant, ground or factory.
",1
481,p,A bug that crawls is,an insect.,a virus.,a wire.,a glitch.,0,"Choose the correct answer below:
A bug that crawls is
1) an insect.
2) a virus.
3) a wire.
4) a glitch.","Choose the correct answer below:
A bug that crawls is
1) an insect.
2) a virus.
3) a wire.
4) a glitch.","1. an insect is correct.
2. a virus is incorrect.
3. a wire is incorrect.
4. a glitch is incorrect.
A bug that crawls is an insect, it is not a virus, wire or glitch.
",1
482,o,"The students are taking a math class, some of them",play video games.,are asked to write articles about politics in class.,are absent-minded.,sing a song.,2,"Choose the correct answer below:
The students are taking a math class, some of them
1) play video games.
2) are asked to write articles about politics in class.
3) are absent-minded.
4) sing a song.","Choose the correct answer below:
The students are taking a math class, some of them
1) play video games.
2) are asked to write articles about politics in class.
3) are absent-minded.
4) sing a song.","1. play video games. is incorrect.
2. are asked to write articles about politics in class. is incorrect.
3. are absent-minded. is incorrect.
4. sing a song. is incorrect.
The students are taking a math class, they are focused on learning and understanding math concepts, they are not playing video games, writing articles about politics, absent-minded or singing a song during the class.
",1
483,p,A bug that makes you ill is,a wire.,an insect.,a glitch.,a virus.,3,"Choose the correct answer below:
A bug that makes you ill is
1) a wire.
2) an insect.
3) a glitch.
4) a virus.","Choose the correct answer below:
A bug that makes you ill is
1) a wire.
2) an insect.
3) a glitch.
4) a virus.","1. a wire is incorrect.
2. an insect is incorrect.
3. a glitch is incorrect.
4. a virus is correct.
A bug that makes you ill is a virus, it is not a wire, an insect, or a glitch.
",1
484,p,A bug that is covertly planted is,a wire.,an insect.,a glitch.,a virus.,0,"Choose the correct answer below:
A bug that is covertly planted is
1) a wire.
2) an insect.
3) a glitch.
4) a virus.","Choose the correct answer below:
A bug that is covertly planted is
1) a wire.
2) an insect.
3) a glitch.
4) a virus.","1. a wire is incorrect.
2. an insect is incorrect.
3. a glitch is incorrect.
4. a virus is correct.
A bug that makes you ill is a virus, it is not a wire, an insect, or a glitch.
",1
485,p,A bug that is in an app is,a wire.,a virus.,an insect.,a glitch.,3,"Choose the correct answer below:
A bug that is in an app is
1) a wire.
2) a virus.
3) an insect.
4) a glitch.","Choose the correct answer below:
A bug that is in an app is
1) a wire.
2) a virus.
3) an insect.
4) a glitch.","1. a wire is incorrect.
2. a virus is incorrect.
3. an insect is incorrect.
4. a glitch is correct.
A bug that is in an app is a glitch, it is not a wire, a virus or an insect.
",1
486,o,We got our dog kiwi from the,Pet store.,New Zealand,Produce isle.,Grocery store.,0,"Choose the correct answer below:
We got our dog kiwi from the
1) Pet store.
2) New Zealand
3) Produce isle.
4) Grocery store.","Choose the correct answer below:
We got our dog kiwi from the
1) Pet store.
2) New Zealand
3) Produce isle.
4) Grocery store.","1. Pet store is correct.
2. New Zealand is incorrect.
3. Produce isle is incorrect.
4. Grocery store is incorrect.
We got our dog kiwi from the Pet store, it is not from New Zealand, Produce isle or Grocery store.
",1
487,o,We got our dog Tomato from,The Grocery store.,New Zealand,The produce isle.,The Pet store.,3,"Choose the correct answer below:
We got our dog Tomato from
1) The Grocery store.
2) New Zealand
3) The produce isle.
4) The Pet store.","Choose the correct answer below:
We got our dog Tomato from
1) The Grocery store.
2) New Zealand
3) The produce isle.
4) The Pet store.","1. The Grocery store is incorrect.
2. New Zealand is incorrect.
3. The produce isle is incorrect.
4. The Pet store is incorrect.
It's impossible to get a dog named tomato from any of the options given, as Tomato is a vegetable, not a name for a dog.
",1
488,o,We got a kiwi for our dog from,The produce isle.,The Pet store.,New Zealand,The Grocery store.,0,"Choose the correct answer below:
We got a kiwi for our dog from
1) The produce isle.
2) The Pet store.
3) New Zealand
4) The Grocery store.","Choose the correct answer below:
We got a kiwi for our dog from
1) The produce isle.
2) The Pet store.
3) New Zealand
4) The Grocery store.","1. The Grocery store is incorrect.
2. New Zealand is incorrect.
3. The produce isle is incorrect.
4. The Pet store is incorrect.
It's impossible to get a dog named tomato from any of the options given, as Tomato is a vegetable, not a name for a dog.
",1
489,o,We got a pineapple for our dog from,New Zealand.,The Pet store.,The Boat.,The produce isle.,3,"Choose the correct answer below:
We got a pineapple for our dog from
1) New Zealand.
2) The Pet store.
3) The Boat.
4) The produce isle.","Choose the correct answer below:
We got a pineapple for our dog from
1) New Zealand.
2) The Pet store.
3) The Boat.
4) The produce isle.","1. New Zealand is incorrect.
2. The Pet store is incorrect.
3. The Boat is incorrect.
4. The produce isle is correct.
We got a pineapple for our dog from the produce isle. Pineapples are not usually sold in pet stores, in New Zealand or by boat as they are typically sold in supermarkets as a fruit, not a pet item.
",1
490,o,I used a telescope to see,a lens.,something far away.,under the planet’s surface.,something that is close.,1,"Choose the correct answer below:
I used a telescope to see
1) a lens.
2) something far away.
3) under the planet’s surface.
4) something that is close.","Choose the correct answer below:
I used a telescope to see
1) a lens.
2) something far away.
3) under the planet’s surface.
4) something that is close.","1. a lens is incorrect.
2. something far away is correct.
3. under the planet’s surface is incorrect.
4. something that is close is incorrect.
A telescope is used to see something far away, it magnifies the image of distant objects, it can't see a lens, under the planet's surface or something that is close.
",1
491,o,I used a telescope with,under the planet’s surface.,something that is close.,something far away.,a lens.,3,"Choose the correct answer below:
I used a telescope with
1) under the planet’s surface.
2) something that is close.
3) something far away.
4) a lens.","Choose the correct answer below:
I used a telescope with
1) under the planet’s surface.
2) something that is close.
3) something far away.
4) a lens.","1. under the planet’s surface is incorrect.
2. something that is close is incorrect.
3. something far away is correct.
4. a lens is correct.
A telescope is an instrument that uses lenses and mirrors to magnify distant objects, by using a telescope with a lens, we can see something far away, not under the planet's surface or something that is close.
",1
492,o,I used a telescope by looking through,something far away.,something that is close.,a lens.,under the planet’s surface.,2,"Choose the correct answer below:
I used a telescope by looking through
1) something far away.
2) something that is close.
3) a lens.
4) under the planet’s surface.","Choose the correct answer below:
I used a telescope by looking through
1) something far away.
2) something that is close.
3) a lens.
4) under the planet’s surface.","1. something far away is incorrect.
2. something that is close is incorrect.
3. a lens is correct.
4. under the planet’s surface is incorrect.
A telescope is an instrument that uses lenses and mirrors to magnify distant objects, by using a telescope, we look through a lens to see something far away, not something that is close or under the planet's surface.
",1
493,o,I broke my arm when,caught a ball.,I held her hand.,I fell off a roof.,I touched my fingers to my toes.,2,"Choose the correct answer below:
I broke my arm when
1) caught a ball.
2) I held her hand.
3) I fell off a roof.
4) I touched my fingers to my toes.","Choose the correct answer below:
I broke my arm when
1) caught a ball.
2) I held her hand.
3) I fell off a roof.
4) I touched my fingers to my toes.","1. something far away is incorrect.
2. something that is close is incorrect.
3. a lens is correct.
4. under the planet’s surface is incorrect.
A telescope is an instrument that uses lenses and mirrors to magnify distant objects, by using a telescope, we look through a lens to see something far away, not something that is close or under the planet's surface.
",1
494,o,I crashed my car and broke my arm so I called,a doctor.,a friend.,a lawyer.,a mechanic.,0,"Choose the correct answer below:
I crashed my car and broke my arm so I called
1) a doctor.
2) a friend.
3) a lawyer.
4) a mechanic.","Choose the correct answer below:
I crashed my car and broke my arm so I called
1) a doctor.
2) a friend.
3) a lawyer.
4) a mechanic.","1. a doctor is correct.
2. a friend is correct.
3. a lawyer is correct.
4. a mechanic is correct.
If you crash your car and broke your arm, it is important to seek medical attention, you can call a doctor. Also, it's a good idea to call a friend for support or to ask them to help you with your situation. Additionally, you may need to contact a lawyer if there is a legal issue with the accident and a mechanic to fix the car.
",1
495,o,I crashed my car and broke my mirror so I called,a mechanic.,a doctor.,a lawyer.,a friend.,0,"Choose the correct answer below:
I crashed my car and broke my mirror so I called
1) a mechanic.
2) a doctor.
3) a lawyer.
4) a friend.","Choose the correct answer below:
I crashed my car and broke my mirror so I called
1) a mechanic.
2) a doctor.
3) a lawyer.
4) a friend.","1. a mechanic is correct.
2. a doctor is incorrect.
3. a lawyer is incorrect.
4. a friend is correct.
If you crash your car and broke your mirror, you may need to call a mechanic to fix the car. Also, it's a good idea to call a friend for support or to ask them to help you with your situation. you don't need to call a doctor or a lawyer because you didn't get injured.
",1
496,o,"Lee has just finished a race, he",can't stop crying.,eats his hands.,runs across the sea.,is out of breath.,3,"Choose the correct answer below:
Lee has just finished a race, he
1) can't stop crying.
2) eats his hands.
3) runs across the sea.
4) is out of breath.","Choose the correct answer below:
Lee has just finished a race, he
1) can't stop crying.
2) eats his hands.
3) runs across the sea.
4) is out of breath.","1. can't stop crying. is incorrect.
2. eats his hands. is incorrect.
3. runs across the sea. is incorrect.
4. is out of breath. is correct.
After finishing a race, it is normal for the person to be out of breath, as they have just completed a physically demanding activity. Lee is not crying, eating his hands or running across the sea.
",1
